scheme,P,term,nominal_rank,added_by_hierarchy
area_cbrt_K3,30,NBR_t,1,FALSE
area_cbrt_K3,30,NBR2_t,2,FALSE
area_cbrt_K3,30,NBR_t__NBR2_t,3,FALSE
area_cbrt_K3,30,NPV_med,4,FALSE
area_cbrt_K3,30,NDVI_t,5,FALSE
area_cbrt_K3,30,SWIR2_t,6,FALSE
area_cbrt_K3,30,SWIR1_t,7,FALSE
area_cbrt_K3,30,NPV_med__NBR2_t,8,FALSE
area_cbrt_K3,30,NIR_t,9,FALSE
area_cbrt_K3,30,NBR2_t__NDVI_t,10,FALSE
area_cbrt_K3,30,NDMI_t,11,FALSE
area_cbrt_K3,30,NBR2_t__NDSI_t,12,FALSE
area_cbrt_K3,30,NDFI_sd,13,FALSE
area_cbrt_K3,30,NDVI_med__NDVI_t,14,FALSE
area_cbrt_K3,30,NDWI_med__NBR2_t,15,FALSE
area_cbrt_K3,30,NIR_med__NIR_t,16,FALSE
area_cbrt_K3,30,NDVI_med,17,FALSE
area_cbrt_K3,30,NDVI_med__NBR2_t,18,FALSE
area_cbrt_K3,30,NDMI_t__NDSI_t,19,FALSE
area_cbrt_K3,30,SWIR2_med__SWIR2_t,20,FALSE
area_cbrt_K3,30,NDWI_med,21,FALSE
area_cbrt_K3,30,SWIR2_med,22,FALSE
area_cbrt_K3,30,NIR_t__NBR_t,23,FALSE
area_cbrt_K3,30,SWIR1_t__SWIR2_t,24,FALSE
area_cbrt_K3,30,SWIR1_t__NDVI_t,25,FALSE
area_cbrt_K3,30,NDFI_med,26,FALSE
area_cbrt_K3,30,NDVI_med__SWIR1_t,27,FALSE
area_cbrt_K3,30,NIR_t__SWIR2_t,28,FALSE
area_cbrt_K3,30,NDWI_med__SWIR1_t,29,FALSE
area_cbrt_K3,30,NDVI_med__NIR_t,30,FALSE
area_cbrt_K3,30,NDSI_t,31,TRUE
area_cbrt_K3,30,NIR_med,41,TRUE
area_cbrt_K3,40,NBR_t,1,FALSE
area_cbrt_K3,40,NBR2_t,2,FALSE
area_cbrt_K3,40,NBR_t__NBR2_t,3,FALSE
area_cbrt_K3,40,NPV_med,4,FALSE
area_cbrt_K3,40,NDVI_t,5,FALSE
area_cbrt_K3,40,SWIR2_t,6,FALSE
area_cbrt_K3,40,SWIR1_t,7,FALSE
area_cbrt_K3,40,NPV_med__NBR2_t,8,FALSE
area_cbrt_K3,40,NIR_t,9,FALSE
area_cbrt_K3,40,NBR2_t__NDVI_t,10,FALSE
area_cbrt_K3,40,NDMI_t,11,FALSE
area_cbrt_K3,40,NBR2_t__NDSI_t,12,FALSE
area_cbrt_K3,40,NDFI_sd,13,FALSE
area_cbrt_K3,40,NDVI_med__NDVI_t,14,FALSE
area_cbrt_K3,40,NDWI_med__NBR2_t,15,FALSE
area_cbrt_K3,40,NIR_med__NIR_t,16,FALSE
area_cbrt_K3,40,NDVI_med,17,FALSE
