block,term,coefficient,coef_std
(intercept),(Intercept),2.62009516905443,
focal,BLUE_t,0,0
focal,GREEN_t,0,0
focal,RED_t,0,0
focal,NIR_t,0.844739492732438,0.0448713591544226
focal,SWIR1_t,-9.46468510746187,-0.436919894437622
focal,SWIR2_t,4.93368720745259,0.228718120155288
focal,NBR_t,-20.5083573616839,-3.95853685733557
focal,NBR2_t,-38.0569227679111,-2.91194825299396
focal,NDVI_t,-13.3629753877552,-1.85446360723736
focal,NDMI_t,0.460443810218048,0.0612953348468513
focal,NDSI_t,-3.92966575662244,-0.241226333928045
prev,GREEN_med,0,0
prev,GREEN_wet,0,0
prev,NIR_med,0,0
prev,NIR_sd,0.000928305885229568,0.118902653241915
prev,SWIR1_med,0,0
prev,SWIR1_sd,0.000754001520915958,0.0913487403908115
prev,SWIR2_med,-0.00178830595992945,-0.459524198210632
prev,SWIR2_wet,-0.00190176956517685,-0.436360611557192
prev,SWIR2_sd,0,0
prev,NDVI_med,0,0
prev,NDVI_wet,0,0
prev,NDVI_dry,0.000255077479740997,0.162010884211992
prev,NDVI_sd,0.000731768574543219,0.210793994639803
prev,NDWI_med,0,0
prev,NDWI_wet,0.000159889688928518,0.124386493942122
prev,NDWI_sd,1.31796903502701e-05,0.00384238519108941
prev,NPV_med,0.18388445990208,0.383765786641408
prev,NPV_wet,0.148233110260346,0.281913430341564
prev,NPV_dry,0.132492897650023,0.329187557894861
prev,NPV_sd,0,0
prev,NDFI_med,0,0
prev,NDFI_sd,-0.110568009955006,-1.54641453919735
pairs,BLUE_t__NBR2_t,0,0
pairs,NBR_t__NBR2_t,97.7561083558301,4.69149592400942
pairs,NBR2_t__NDSI_t,13.52362642681,0.575290627981394
pairs,NBR2_t__NDVI_t,0,0
pairs,NDMI_t__NDSI_t,-9.58105107185882,-0.701439745895045
pairs,NDVI_t__NDMI_t,-17.1124870798505,-1.04016534624418
pairs,NIR_t__NBR_t,0,0
pairs,NIR_t__SWIR2_t,-5.67633797333427,-0.0930689643874746
pairs,SWIR1_t__NDMI_t,9.87569526463518,0.299057435652242
pairs,SWIR1_t__NDVI_t,21.7401484910556,0.596676203398596
pairs,SWIR1_t__SWIR2_t,0,0
sameband,GREEN_med__GREEN_t,0,0
sameband,NIR_med__NIR_t,0,0
sameband,NIR_sd__NIR_t,0,0
sameband,SWIR1_med__SWIR1_t,0,0
sameband,SWIR1_sd__SWIR1_t,0,0
sameband,SWIR2_med__SWIR2_t,0,0
sameband,NDVI_med__NDVI_t,0,0
sameband,NDVI_sd__NDVI_t,0,0
cross_idx,NDVI_med__NBR_t,0,0
cross_idx,NDVI_med__NBR2_t,0,0
cross_idx,NDVI_sd__NBR2_t,-0.00354150794766412,-0.421892451330033
cross_idx,NDWI_med__NBR_t,0,0
cross_idx,NDWI_med__NBR2_t,0,0
cross_idx,NDWI_med__NDVI_t,0,0
cross_idx,NDWI_sd__NBR2_t,0,0
cross_idx,NPV_med__NBR2_t,-0.0973412034678298,-0.0634395943516868
cross_idx,NPV_med__NDVI_t,-0.186032037041462,-0.221222396543853
cross_idx,NDFI_med__NBR_t,0,0
cross_idx,NDFI_med__NDVI_t,0,0
cross_idx,NDFI_sd__NBR2_t,0,0
cross_idx,NDFI_sd__NDVI_t,0.24299209968288,2.01746553052247
cross_band,NDVI_med__RED_t,0,0
cross_band,NDVI_med__NIR_t,0,0
cross_band,NDVI_med__SWIR1_t,0,0
cross_band,NDVI_med__SWIR2_t,0,0
cross_band,NDVI_sd__SWIR2_t,0,0
cross_band,NDWI_med__RED_t,0,0
cross_band,NDWI_med__NIR_t,0,0
cross_band,NDWI_med__SWIR1_t,0,0
cross_band,NPV_med__NIR_t,0,0
cross_band,NPV_med__SWIR1_t,0,0
cross_band,NPV_med__SWIR2_t,0.223955037501114,0.0984733562035496
cross_band,NDFI_med__NIR_t,0,0
cross_band,NDFI_sd__RED_t,0,0
cross_band,NDFI_sd__NIR_t,0,0
cross_band,NDFI_sd__SWIR1_t,0,0
