block,term,coefficient,coef_std
(intercept),(Intercept),-9.29257412666886,
focal,BLUE_t,0,0
focal,GREEN_t,0,0
focal,RED_t,0,0
focal,NIR_t,3.93039834162685,0.219373213743357
focal,SWIR1_t,3.65528109084648,0.151244863264405
focal,SWIR2_t,0,0
focal,NBR_t,-7.98505892757816,-1.55834531280891
focal,NBR2_t,-25.9364418724321,-2.16543597733148
focal,NDVI_t,0,0
focal,NDMI_t,0,0
focal,NDSI_t,-4.29183196583474,-0.25772666725943
prev,GREEN_med,0,0
prev,GREEN_wet,0,0
prev,GREEN_dry,0,0
prev,GREEN_sd,0,0
prev,NIR_med,0,0
prev,NIR_wet,0,0
prev,NIR_dry,3.97865143647833e-05,0.014908409779977
prev,NIR_sd,0.00543015395396007,0.737731476898438
prev,SWIR1_med,0,0
prev,SWIR1_wet,0,0
prev,SWIR1_dry,0,0
prev,SWIR1_sd,0.00264930939625246,0.318904940674796
prev,SWIR2_med,-0.000249001738616061,-0.0551600987517366
prev,SWIR2_wet,0,0
prev,SWIR2_dry,0,0
prev,SWIR2_sd,0,0
prev,NDVI_med,2.87113786383373e-05,0.0302666096266498
prev,NDVI_wet,0,0
prev,NDVI_dry,0.00037878115568831,0.373235944601605
prev,NDVI_sd,-0.000454497201110385,-0.114176070018137
prev,NDWI_med,0,0
prev,NDWI_wet,0,0
prev,NDWI_dry,0,0
prev,NDWI_sd,0,0
prev,NPV_med,0.0974798229888988,0.177212293455274
prev,NPV_wet,0,0
prev,NPV_dry,0.238399071863454,0.531936193474173
prev,NPV_sd,0.244362365381837,0.171115102102854
prev,NDFI_med,0.00647891260770141,0.139566567905797
prev,NDFI_wet,0,0
prev,NDFI_dry,0,0
prev,NDFI_sd,-0.0266635090178436,-0.315353703745218
pairs,BLUE_t__NBR_t,0,0
pairs,BLUE_t__NBR2_t,0,0
pairs,BLUE_t__NDMI_t,0,0
pairs,BLUE_t__RED_t,0,0
pairs,BLUE_t__SWIR1_t,0,0
pairs,GREEN_t__NIR_t,0,0
pairs,NBR_t__NBR2_t,38.1016503670911,2.32630118835178
pairs,NBR_t__NDMI_t,0,0
pairs,NBR2_t__NDSI_t,15.6957281664804,0.730526299067775
pairs,NBR2_t__NDVI_t,0,0
pairs,NDMI_t__NDSI_t,0,0
pairs,NDVI_t__NDMI_t,0,0
pairs,NDVI_t__NDSI_t,0,0
pairs,NIR_t__NBR_t,0,0
pairs,NIR_t__NDSI_t,0,0
pairs,NIR_t__SWIR1_t,0,0
pairs,NIR_t__SWIR2_t,0,0
pairs,SWIR1_t__NDMI_t,0,0
pairs,SWIR1_t__NDSI_t,0,0
pairs,SWIR1_t__NDVI_t,0,0
pairs,SWIR1_t__SWIR2_t,0,0
pairs,SWIR2_t__NDVI_t,0,0
sameband,GREEN_med__GREEN_t,0,0
sameband,GREEN_sd__GREEN_t,0,0
sameband,NIR_med__NIR_t,0,0
sameband,NIR_sd__NIR_t,-0.00524277047634708,-0.20078132261712
sameband,SWIR1_med__SWIR1_t,0,0
sameband,SWIR1_sd__SWIR1_t,-0.01286549181396,-0.329679995000881
sameband,SWIR2_med__SWIR2_t,0,0
sameband,SWIR2_sd__SWIR2_t,0,0
sameband,NDVI_med__NDVI_t,0,0
sameband,NDVI_sd__NDVI_t,0,0
cross_idx,NDVI_med__NBR_t,0,0
cross_idx,NDVI_med__NBR2_t,0,0
cross_idx,NDVI_sd__NBR_t,0,0
cross_idx,NDVI_sd__NBR2_t,0,0
cross_idx,NDWI_med__NBR_t,0,0
cross_idx,NDWI_med__NBR2_t,0,0
cross_idx,NDWI_med__NDVI_t,0,0
cross_idx,NDWI_sd__NBR_t,0,0
cross_idx,NDWI_sd__NBR2_t,0,0
cross_idx,NDWI_sd__NDVI_t,0,0
cross_idx,NPV_med__NBR_t,0,0
cross_idx,NPV_med__NBR2_t,-0.391874479355215,-0.231947096257175
cross_idx,NPV_med__NDVI_t,0,0
cross_idx,NPV_sd__NBR_t,0,0
cross_idx,NPV_sd__NBR2_t,-0.430182482378141,-0.0877319961860015
cross_idx,NPV_sd__NDVI_t,0,0
cross_idx,NDFI_med__NBR_t,-0.0267686571966841,-0.875934896635242
cross_idx,NDFI_med__NBR2_t,0,0
cross_idx,NDFI_med__NDVI_t,0,0
cross_idx,NDFI_sd__NBR_t,0.0393851356576506,0.223387859793821
cross_idx,NDFI_sd__NBR2_t,0.0734507215564031,0.253594245203544
cross_idx,NDFI_sd__NDVI_t,0,0
cross_band,NDVI_med__RED_t,0,0
cross_band,NDVI_med__NIR_t,-0.000144680793243303,-0.142223583294708
cross_band,NDVI_med__SWIR1_t,0,0
cross_band,NDVI_med__SWIR2_t,0,0
cross_band,NDVI_sd__RED_t,0,0
cross_band,NDVI_sd__NIR_t,0,0
cross_band,NDVI_sd__SWIR1_t,0,0
cross_band,NDVI_sd__SWIR2_t,0,0
cross_band,NDWI_med__RED_t,0,0
cross_band,NDWI_med__NIR_t,0,0
cross_band,NDWI_med__SWIR1_t,0,0
cross_band,NDWI_med__SWIR2_t,0,0
cross_band,NDWI_sd__RED_t,0,0
cross_band,NDWI_sd__NIR_t,0,0
cross_band,NDWI_sd__SWIR1_t,0,0
cross_band,NDWI_sd__SWIR2_t,0,0
cross_band,NPV_med__RED_t,0,0
cross_band,NPV_med__NIR_t,0,0
cross_band,NPV_med__SWIR1_t,0,0
cross_band,NPV_med__SWIR2_t,0,0
cross_band,NPV_sd__RED_t,0,0
cross_band,NPV_sd__NIR_t,0,0
cross_band,NPV_sd__SWIR1_t,-0.764496115905739,-0.108248503611428
cross_band,NPV_sd__SWIR2_t,0,0
cross_band,NDFI_med__RED_t,0,0
cross_band,NDFI_med__NIR_t,0,0
cross_band,NDFI_med__SWIR1_t,0,0
