block,term,coefficient
(intercept),(Intercept),-1.99148649835807
focal,BLUE_t,0
focal,GREEN_t,0
focal,RED_t,0
focal,NIR_t,0
focal,SWIR1_t,0
focal,SWIR2_t,0
focal,NBR_t,-0.349637041721493
focal,NBR2_t,-0.312298317436532
focal,MIRBI_t,0
focal,NDVI_t,0
focal,TCB_t,0
focal,TCG_t,0
focal,TCW_t,0
focal,NDMI_t,-0.369303546043231
focal,NDSI_t,0
focal,SAVI_t,0
focal,NDWI_t,0
focal,AFRI_t,-0.522785412733798
focal,kNDVI_t,0
focal,EVI2_t,0
focal,NIRv_t,0
prev,BLUE_med,0
prev,BLUE_wet,0
prev,BLUE_dry,0
prev,BLUE_sd,0
prev,GREEN_med,-0.000393260956114895
prev,GREEN_wet,-0.00055495560099296
prev,GREEN_dry,0
prev,GREEN_sd,0
prev,RED_med,-0.000232208927942158
prev,RED_wet,-0.000522373401302082
prev,RED_dry,0
prev,RED_sd,0
prev,NIR_med,0
prev,NIR_wet,0
prev,NIR_dry,0
prev,NIR_sd,0
prev,SWIR1_med,0
prev,SWIR1_wet,0
prev,SWIR1_dry,0
prev,SWIR1_sd,0
prev,SWIR2_med,-0.000612978825400309
prev,SWIR2_wet,-0.000355559921947977
prev,SWIR2_dry,0
prev,SWIR2_sd,0
prev,NDVI_med,0
prev,NDVI_wet,0
prev,NDVI_dry,0
prev,NDVI_sd,0
prev,NDWI_med,0
prev,NDWI_wet,2.73106574308103e-05
prev,NDWI_dry,0
prev,NDWI_sd,0
prev,NPV_med,0
prev,NPV_wet,0
prev,NPV_dry,0
prev,NPV_sd,0
prev,NDFI_med,0
prev,NDFI_wet,0
prev,NDFI_dry,0
prev,NDFI_sd,0
pairs,BLUE_t__GREEN_t,0
pairs,BLUE_t__RED_t,0
pairs,BLUE_t__NIR_t,0
pairs,BLUE_t__SWIR1_t,0
pairs,BLUE_t__SWIR2_t,0
pairs,BLUE_t__NBR_t,0
pairs,BLUE_t__NBR2_t,0
pairs,BLUE_t__MIRBI_t,0
pairs,BLUE_t__NDVI_t,0
pairs,BLUE_t__TCB_t,0
pairs,BLUE_t__TCG_t,0
pairs,BLUE_t__TCW_t,0
pairs,BLUE_t__NDMI_t,0
pairs,BLUE_t__NDSI_t,0
pairs,BLUE_t__SAVI_t,0
pairs,BLUE_t__NDWI_t,0
pairs,BLUE_t__AFRI_t,0
pairs,BLUE_t__kNDVI_t,0
pairs,BLUE_t__EVI2_t,0
pairs,BLUE_t__NIRv_t,0
pairs,GREEN_t__RED_t,0
pairs,GREEN_t__NIR_t,0
pairs,GREEN_t__SWIR1_t,0
pairs,GREEN_t__SWIR2_t,0
pairs,GREEN_t__NBR_t,0
pairs,GREEN_t__NBR2_t,0
pairs,GREEN_t__MIRBI_t,0
pairs,GREEN_t__NDVI_t,-3.26620647391596
pairs,GREEN_t__TCB_t,0
pairs,GREEN_t__TCG_t,0
pairs,GREEN_t__TCW_t,0
pairs,GREEN_t__NDMI_t,0
pairs,GREEN_t__NDSI_t,0
pairs,GREEN_t__SAVI_t,0
pairs,GREEN_t__NDWI_t,0
pairs,GREEN_t__AFRI_t,0
pairs,GREEN_t__kNDVI_t,-3.42099900118975
pairs,GREEN_t__EVI2_t,0
pairs,GREEN_t__NIRv_t,0
pairs,RED_t__NIR_t,0
pairs,RED_t__SWIR1_t,0
pairs,RED_t__SWIR2_t,0
pairs,RED_t__NBR_t,0
pairs,RED_t__NBR2_t,0
pairs,RED_t__MIRBI_t,0
pairs,RED_t__NDVI_t,0
pairs,RED_t__TCB_t,0
pairs,RED_t__TCG_t,0
pairs,RED_t__TCW_t,0
pairs,RED_t__NDMI_t,0
pairs,RED_t__NDSI_t,0
pairs,RED_t__SAVI_t,0
pairs,RED_t__NDWI_t,0
pairs,RED_t__AFRI_t,0
pairs,RED_t__kNDVI_t,0
pairs,RED_t__EVI2_t,0
pairs,RED_t__NIRv_t,0
pairs,NIR_t__SWIR1_t,0
pairs,NIR_t__SWIR2_t,0
pairs,NIR_t__NBR_t,0
pairs,NIR_t__NBR2_t,0
pairs,NIR_t__MIRBI_t,-0.211165177514927
pairs,NIR_t__NDVI_t,0
pairs,NIR_t__TCB_t,0
pairs,NIR_t__TCG_t,0
pairs,NIR_t__TCW_t,0
pairs,NIR_t__NDMI_t,0
pairs,NIR_t__NDSI_t,0
pairs,NIR_t__SAVI_t,0
pairs,NIR_t__NDWI_t,0
pairs,NIR_t__AFRI_t,0
pairs,NIR_t__kNDVI_t,0
pairs,NIR_t__EVI2_t,0
pairs,NIR_t__NIRv_t,0
pairs,SWIR1_t__SWIR2_t,0
pairs,SWIR1_t__NBR_t,-1.43728518012047
pairs,SWIR1_t__NBR2_t,0
pairs,SWIR1_t__MIRBI_t,0
pairs,SWIR1_t__NDVI_t,0
pairs,SWIR1_t__TCB_t,0
pairs,SWIR1_t__TCG_t,0
pairs,SWIR1_t__TCW_t,0
pairs,SWIR1_t__NDMI_t,-2.00644727183063
pairs,SWIR1_t__NDSI_t,0
pairs,SWIR1_t__SAVI_t,0
pairs,SWIR1_t__NDWI_t,0
pairs,SWIR1_t__AFRI_t,-0.8972966716189
pairs,SWIR1_t__kNDVI_t,0
pairs,SWIR1_t__EVI2_t,0
pairs,SWIR1_t__NIRv_t,0
pairs,SWIR2_t__NBR_t,-2.53712269847519
pairs,SWIR2_t__NBR2_t,0
pairs,SWIR2_t__MIRBI_t,0
pairs,SWIR2_t__NDVI_t,0
pairs,SWIR2_t__TCB_t,0
pairs,SWIR2_t__TCG_t,0
pairs,SWIR2_t__TCW_t,0
pairs,SWIR2_t__NDMI_t,-4.02570012488925
pairs,SWIR2_t__NDSI_t,-0.379065354415018
pairs,SWIR2_t__SAVI_t,0
pairs,SWIR2_t__NDWI_t,0
pairs,SWIR2_t__AFRI_t,0
pairs,SWIR2_t__kNDVI_t,0
pairs,SWIR2_t__EVI2_t,0
pairs,SWIR2_t__NIRv_t,0
pairs,NBR_t__NBR2_t,0
pairs,NBR_t__MIRBI_t,-0.22781141765716
pairs,NBR_t__NDVI_t,-0.288306162310035
pairs,NBR_t__TCB_t,0
pairs,NBR_t__TCG_t,0
pairs,NBR_t__TCW_t,1.7559617856199
pairs,NBR_t__NDMI_t,0
pairs,NBR_t__NDSI_t,0.660869857940511
pairs,NBR_t__SAVI_t,0
pairs,NBR_t__NDWI_t,0.321742161207631
pairs,NBR_t__AFRI_t,-0.141439778890124
pairs,NBR_t__kNDVI_t,-0.0609513203974133
pairs,NBR_t__EVI2_t,0
pairs,NBR_t__NIRv_t,0
pairs,NBR2_t__MIRBI_t,-0.146200644088127
pairs,NBR2_t__NDVI_t,-0.111790460838065
pairs,NBR2_t__TCB_t,0
pairs,NBR2_t__TCG_t,0
pairs,NBR2_t__TCW_t,0
pairs,NBR2_t__NDMI_t,0
pairs,NBR2_t__NDSI_t,0
pairs,NBR2_t__SAVI_t,0
pairs,NBR2_t__NDWI_t,0.0242397062053576
pairs,NBR2_t__AFRI_t,-0.277074345365507
pairs,NBR2_t__kNDVI_t,0
pairs,NBR2_t__EVI2_t,0
pairs,NBR2_t__NIRv_t,0
pairs,MIRBI_t__NDVI_t,0
pairs,MIRBI_t__TCB_t,0
pairs,MIRBI_t__TCG_t,0
pairs,MIRBI_t__TCW_t,0
pairs,MIRBI_t__NDMI_t,-0.248147240875818
pairs,MIRBI_t__NDSI_t,-0.541614268970574
pairs,MIRBI_t__SAVI_t,0
pairs,MIRBI_t__NDWI_t,0
pairs,MIRBI_t__AFRI_t,-0.301452374516953
pairs,MIRBI_t__kNDVI_t,0
pairs,MIRBI_t__EVI2_t,0
pairs,MIRBI_t__NIRv_t,0
pairs,NDVI_t__TCB_t,0
pairs,NDVI_t__TCG_t,0
pairs,NDVI_t__TCW_t,0
pairs,NDVI_t__NDMI_t,-0.244600544040925
pairs,NDVI_t__NDSI_t,0
pairs,NDVI_t__SAVI_t,0
pairs,NDVI_t__NDWI_t,0
pairs,NDVI_t__AFRI_t,-0.26017742584485
pairs,NDVI_t__kNDVI_t,0
pairs,NDVI_t__EVI2_t,0
pairs,NDVI_t__NIRv_t,0
pairs,TCB_t__TCG_t,0
pairs,TCB_t__TCW_t,0
pairs,TCB_t__NDMI_t,0
pairs,TCB_t__NDSI_t,0
pairs,TCB_t__SAVI_t,0
pairs,TCB_t__NDWI_t,0
pairs,TCB_t__AFRI_t,0
pairs,TCB_t__kNDVI_t,0
pairs,TCB_t__EVI2_t,0
pairs,TCB_t__NIRv_t,0
pairs,TCG_t__TCW_t,0
pairs,TCG_t__NDMI_t,0
pairs,TCG_t__NDSI_t,0
pairs,TCG_t__SAVI_t,0
