alpha,lambda,cvm,cvsd,thresh
0.25,0.646763447519186,0.789558820476801,0.118913841084595,1e-04
0.25,0.535935856533353,0.771382089819959,0.120112410012388,1e-04
0.25,0.444099374230048,0.73762491182924,0.121408508661522,1e-04
0.25,0.367999736885017,0.70192976529771,0.124028777074851,1e-04
0.25,0.304940322382195,0.668400746143255,0.12785029761903,1e-04
0.25,0.252686594293984,0.639076619806698,0.132114141516305,1e-04
0.25,0.209386920158973,0.613818515608785,0.136638167298278,1e-04
0.25,0.173506958120034,0.593938889667536,0.14097725979811,1e-04
0.25,0.143775286886167,0.579122430310355,0.145487408255198,1e-04
0.25,0.119138352393331,0.567789151462834,0.149746236776921,1e-04
0.25,0.0987231346805482,0.558493375337636,0.154071350349797,1e-04
0.25,0.0818062120665959,0.548550737888691,0.158687555837598,1e-04
0.25,0.0677881264036024,0.537941186889542,0.164724252581587,1e-04
0.25,0.0561721410297049,0.530327051820494,0.172051645087337,1e-04
0.25,0.0465466387000391,0.52533463050285,0.179410770852133,1e-04
0.25,0.0385705357594656,0.521153379396048,0.186111496062665,1e-04
0.25,0.0319611957022143,0.516837411664942,0.192528749473325,1e-04
0.25,0.0264844138304341,0.512685208182234,0.19875605882712,1e-04
0.25,0.0219461181138819,0.507904625090173,0.204493134135456,1e-04
0.25,0.0181854921672835,0.501578139119104,0.209101671253127,1e-04
0.25,0.0150692766552249,0.493229318497838,0.212549460293119,1e-04
0.25,0.0124870471924999,0.484912625238672,0.215575179122426,1e-04
0.25,0.0103473014103605,0.47794462272785,0.219132041624957,1e-04
0.25,0.00857421653224428,0.471618242880706,0.222462396424177,1e-04
0.25,0.00710496256233537,0.466732144109233,0.225896773128671,1e-04
0.25,0.00588747587868231,0.46479997586144,0.230133174904721,1e-04
0.25,0.00487861433722638,0.464987673825689,0.234982508223708,1e-04
0.25,0.00404262851208789,0.466123898571777,0.239841138131843,1e-04
0.25,0.00334989489987791,0.46953139604388,0.245544982660236,1e-04
0.25,0.0027758661986066,0.473327120132799,0.25086616672727,1e-04
0.25,0.00230020146388696,0.479843960520891,0.256970924605132,1e-04
0.25,0.0019060453191597,0.484942571099143,0.263464096838378,1e-04
0.25,0.00157943067845518,0.492811330614203,0.270526477372206,1e-04
0.25,0.00130878381692686,0.501123484079358,0.278021869520396,1e-04
0.25,0.00108451425112561,0.507241883029569,0.284686094536778,1e-04
0.25,0.000898674896253148,0.512017099647712,0.289298354649553,1e-04
