veg_fire_name,veg_fire,regions,fittable,all_regions_available,n_obs,n_pos,n_neg,n_fires_with_pos,realized_K,mean_pos_per_fold,pct_neg_from_pure_neg_fires
grassland_pampa,15,PAMPA,True,True,1177881,117325,1060556,33,10,11732.5,0.6
grassland_pat,16,PAT,True,True,819566,92651,726915,45,10,9265.1,31.9
forest-cerr_chaco,9,CHACO,True,True,700799,63692,637107,56,10,6369.2,0.0
shrubland_cuyo-pampa,20,CUYO+PAMPA,True,True,554106,57731,496375,38,10,5773.1,0.0
forest_ba,5,BA,True,True,331610,60237,271373,11,10,6023.7,0.0
grassland_chaco,13,CHACO,True,True,271665,46409,225256,35,10,4640.9,0.0
forest_pat,8,PAT,True,True,229233,42824,186409,19,10,4282.4,0.6
shrubland_pat,21,PAT,True,True,189039,42320,146719,40,10,4232.0,12.0
agriculture_pampa,3,PAMPA,True,True,182001,6632,175369,7,7,947.4,18.1
forest_pampa,7,PAMPA,True,True,166727,10987,155740,19,10,1098.7,0.0
grassland_ba,12,BA,True,True,163945,12518,151427,6,6,2086.3,0.0
forest-open_chaco,11,CHACO,True,True,149057,14892,134165,34,10,1489.2,0.0
grassland_cuyo,14,CUYO,True,True,145918,13032,132886,24,10,1303.2,0.0
forest-inund-chaco,10,CHACO,True,True,121421,12570,108851,9,9,1396.7,0.0
shrubland-open_chaco,23,CHACO,True,True,120175,8643,111532,27,10,864.3,0.0
agriculture_chaco,1,CHACO,True,True,65620,8517,57103,26,10,851.7,0.0
shrubland-closed_chaco,22,CHACO,True,True,64429,8443,55986,24,10,844.3,0.0
grassland-inund_chaco,17,CHACO,True,True,64246,6228,58018,20,10,622.8,0.0
forest_cuyo,6,CUYO,True,True,61799,7977,53822,20,10,797.7,0.0
pasture_chaco,19,CHACO,True,True,51587,7507,44080,16,10,750.7,0.0
pasture_ba,18,BA,True,True,28555,2057,26498,11,10,205.7,0.0
agriculture-per_chaco-ba,4,BA+CHACO,True,True,22822,3952,18870,15,10,395.2,0.0
agriculture_cuyo-pat,2,CUYO+PAT,True,True,21348,2624,18724,18,10,262.4,4.2
non-burnable,24,BA+CHACO+CUYO+PAMPA+PAT,False,True,20654,4775,15879,17,0,0,34.0
non-observed,25,BA+CHACO+CUYO+PAMPA+PAT,False,True,550,162,388,4,0,0,18.0
