veg_fire,veg_fire_name,regions,n_obs,n_pos,n_eff,K,n_terms,alpha,lambda_rule,lambda,lambda_min,lambda_1se,cv_deviance,cv_logloss,cv_brier,cv_auc,n_nonzero,thresh
1,agriculture_chaco,CHACO,65620,8517,65620,10,129,0.75,min,0.000141567967518034,0.000141567967518034,0.00607600409927449,0.372183838541927,0.186655376145867,0.0464114385007819,0.95006651958339,111,
2,agriculture_cuyo-pat,CUYO+PAT,21348,2624,21348,10,129,0.75,min,0.00152856250733621,0.00152856250733621,0.00829806974104736,0.121820972413663,0.060910431250417,0.0164635744903075,0.993091802746964,59,
3,agriculture_pampa,PAMPA,182001,6632,182001,7,129,0.75,min,0.0027905506498483,0.0027905506498483,0.0220622140199272,0.195823031276982,0.0979372204888918,0.0259905535427976,0.947278863163738,31,
4,agriculture-per_chaco-ba,BA+CHACO,22822,3952,22822,10,129,0.75,min,0.00821368369102101,0.00821368369102101,0.0783663845377287,0.677262665114304,0.338631330683777,0.0939530559848514,0.809218960863698,43,
5,forest_ba,BA,331610,60237,331610,10,129,0.25,min,0.000111882053805829,0.000111882053805829,0.11726505007009,0.397353295534003,0.200929770913403,0.0489363831133166,0.945275585550748,128,
6,forest_cuyo,CUYO,61799,7977,61799,10,129,0.75,min,0.00271312988589294,0.00271312988589294,0.0964919300740362,0.257611193921099,0.128805570152961,0.0301407467780035,0.944113368146643,51,
7,forest_pampa,PAMPA,166727,10987,166727,10,129,0.75,min,0.00235189284878596,0.00235189284878596,0.00498824922592573,0.0512458922722023,0.0256229408801728,0.00587167158370989,0.995508256141091,28,
8,forest_pat,PAT,246885,42824,246885,10,129,0.75,min,0.00346431103870722,0.00346431103870722,0.0188066202500084,0.219964031877809,0.110004672282879,0.0291892680359536,0.979810396952279,46,
9,forest-cerr_chaco,CHACO,700799,63692,700799,10,129,0.5,min,0.000446643908054563,0.000446643908054563,0.00748947216051877,0.186074167291476,0.0933947390513906,0.0202043120363368,0.950750958778734,93,
10,forest-inund-chaco,CHACO,121421,12570,121421,9,129,0.25,min,0.0110037663390658,0.0110037663390658,0.0597358760649452,0.178133635250227,0.0890668137224415,0.0235588081307771,0.980417403580454,51,
11,forest-open_chaco,CHACO,149057,14892,149057,10,129,0.75,min,0.000217018309210028,0.000217018309210028,0.0036390344877441,0.100010042384506,0.0501059117862235,0.0113381340565268,0.987375390341984,90,
12,grassland_ba,BA,163945,12518,163945,6,129,0.5,min,0.00626976789709633,0.00626976789709633,0.324741040676671,0.341126708281559,0.17056334117013,0.0370954101410037,0.811705734403306,32,
13,grassland_chaco,CHACO,271665,46409,271665,10,129,0.5,min,0.00217973835977538,0.00217973835977538,0.348727342134644,0.688681808926476,0.345823577460824,0.0816066705960816,0.844456715696428,72,
14,grassland_cuyo,CUYO,145918,13032,145918,10,129,0.75,min,0.00438693349775838,0.00438693349775838,0.0287400541142527,0.240558462711435,0.120297059243467,0.0304861058676891,0.949019416230311,34,
15,grassland_pampa,PAMPA,1177881,117325,1177881,10,129,0.25,min,0.000553834523686552,0.000553834523686552,0.011207338086849,0.136971832180472,0.0685647190405031,0.0166443710613617,0.980087669343679,98,
16,grassland_pat,PAT,711223,92651,711223,10,129,0.75,min,0.000135210009108753,0.000135210009108753,0.0101990533247459,0.353979506478667,0.180703277655671,0.0434285496951613,0.935737104935437,108,
17,grassland-inund_chaco,CHACO,64246,6228,64246,10,129,0.75,min,0.00198063334573507,0.00198063334573507,0.0188971331547378,0.124308814161274,0.0621543574237668,0.0151420959442134,0.987666134242705,38,
18,pasture_ba,BA,28555,2057,28555,10,129,0.25,min,0.0020531683305506,0.0020531683305506,0.0344282028148451,0.193427656263172,0.0967137967702302,0.0213397903289002,0.933594790159083,74,
19,pasture_chaco,CHACO,51587,7507,51587,10,129,0.75,min,0.000773572983404995,0.000773572983404995,0.00890688374135745,0.186591572596012,0.0938785625842006,0.0217018895098847,0.97886301581319,65,
20,shrubland_cuyo-pampa,CUYO+PAMPA,554106,57731,554106,10,129,0.75,min,0.00564103760165462,0.00564103760165462,0.0649506474197262,0.257356254227602,0.128946356847491,0.0254112682945732,0.911429670623793,40,0.005
21,shrubland_pat,PAT,190101,42320,190101,10,129,0.75,min,0.000728892565147908,0.000728892565147908,0.00695433099152761,0.284794973849216,0.142700448029166,0.0353564173854613,0.970831082540277,88,1e-04
22,shrubland-closed_chaco,CHACO,64429,8443,64429,10,129,0.5,min,0.00428710826612214,0.00428710826612214,0.183999868442509,0.461538261011525,0.230858052591114,0.0532852471007488,0.861986433225284,63,1e-04
23,shrubland-open_chaco,CHACO,120175,8643,120175,10,129,0.75,min,0.00105222298998717,0.00105222298998717,0.00571217710243528,0.151185548822969,0.0759049396340042,0.0189096251323829,0.979650482791042,60,1e-04
